vehicle,item,quantitiy,serial,date_purchased,kilometer,description,km_diff,time_diff,time_diff
AA-3-03055,battery,1,2584B1S0638,11/18/2015 0:00,261775,GS Battey with Acid Size 12V 35Amp,52925,4year & 8 month,4year & 8 month
AA-3-03055,battery,1,607C161213029,7/19/2018 0:00,298408,Helzer Battery 12V 35Amp,36633,2year &8month,2year &8month
AA-3-03055,battery,1,GD29EF3,8/6/2020 0:00,343293,Yuasa Battery W/Acid Size 12V 35Amp,12477,2year & 1month,2year & 1month
AA-3-03055,battery,2,GF13HF1,12/22/2021 0:00,376832,"Yuasa Battery W/Acid Size 12V, 35Amp",12477,1year & 3month,1year & 3month
AA-3-04418,tyre,2,4112x2,2/11/2012 0:00,193159,Addis Tyre with inner tube size 165/70 R13,0,0,1
AA-3-04418,tyre,2,"4814,3214 & 4614",7/15/2015 0:00,195564,Matador Tyre Tubeless Size 165/70 R13,2405,3year & 5month,3year & 5month
AA-3-04418,tyre,4,"5117, 5117, 5117, 0418",4/10/2018 0:00,219726,Ling Long TyresTubeless Size 165/70 R13,24162,2year & 8month,2year & 8month
AA-3-04418,tyre,4,2819x4,7/11/2020 0:00,237518,Duraturn Tyre Size 165/70 R13,17792,2year & 3 month,2year & 3 month
AA-3-04418,tyre,2,1321*2,11/20/2021 0:00,250033,Duraturn Tyre Tubeless Size 165/70 R13,18444,1year & 4month,1year & 4month
AA-3-29996,battery,1,DIN55,9/10/2010 0:00,0,Fujiya Battery 12V 55Amp with acid,0,0,1
AA-3-29996,battery,1,FX700,4/25/2012 0:00,0,Solite Battery with acid size 12V 55Amp,0,1year & 7 month,1year & 7 month
AA-3-29996,battery,3,FX700,3/5/2013 0:00,0,Solite Battery With Acid Size 12V 55Amp,0,11MONTH,11MONTH
AA-3-29996,battery,2,1614B2S0461,4/16/2014 0:00,211451,GS Battery with Acid Size 55Amp 12V,0,3year,3year
AA-3-29996,battery,1,1586B4C,4/6/2017 0:00,233853,Quantum Battery 12V 55Amp,22402,3YEAR,3YEAR
AA-3-29996,battery,1,8F08D,2/27/2019 0:00,280994,Japan Star Battery Sealed Size 12V 55Amp,30573,4year & 1 month,4year & 1 month
AA-3-03478,tyre,3,2010 x 3,4/19/2011 0:00,236696,Goodride Tyre Size 155/80 R12 tubeless,0,0,1
